Accession,Population,Tray,Ploidy,Plant_ID,Treatment,Cytotype,leaf_1_chlorophyll,leaf_1_fresh_mass,leaf_1_dry_mass,leaf_1_area_cm,leaf_1_area_m,leaf_1_SLA,leaf_1_perimeter_cm,leaf_1_DMC,leaf_2_chlorophyll,leaf_2_fresh_mass,leaf_2_dry_mass,leaf_2_area_cm,leaf_2_area_m,leaf_2_SLA,leaf_2_perimeter,leaf_2_DMC,leaf_3_chlorophyll,leaf_3_fresh_mass,leaf_3_dry_mass,leaf_3_area,leaf_3_area_m,leaf_3_SLA,leaf_3_perimeter,leaf_3_DMC,avg_leaf_area_cm,avg_leaf_dry_mass,avg_chlorophyll,log_avg_chlorophyll,avg_DMC,est_flo_dry_leaf_weight,avg_SLA,log_avg_SLA,leaf_curl,whorled_leaf,tick_stem,thick_leaf,Sum,aboveground_dry_mass,total_aboveground_biomass,belowground_dry_mass,total_biomass_g,log_Total_biomass_g,root_to_shoot_raio,rhizome_weight,fine_roots_weight,Died,normalized_aboveground_mass,normalized_belowground_mass,normalized_rhizome_mass,normalized_fine_roots_mass,normalized_avg_leaf_dry_mass
Blue1-3,Blue,19,2x,199,L,Diploid,40.7,0.0341,0.0095,1.32,0.0132,1.389473684,5.06,0.278592375,41.4,0.0313,0.0087,1.15,0.0115,1.32183908,4.65,0.277955272,NA,NA,NA,NA,NA,NA,NA,NA,0.01235,0.0091,41.05,1.613313161,0.278273824,0.014024374,1.355656382,0.132149623,0,0,0,0,0,0.0594,0.073424374,0.0632,0.136624374,-0.864471815,0.860749592,0.039,0.0242,0,0.537417826,0.462582174,0.28545419,0.177127984,0.066605978
Blue2-2,Blue,20,2x,224,L,Diploid,43,0.0198,0.0067,0.82,0.0082,1.223880597,3.78,0.338383838,38.3,0.0237,0.0069,0.98,0.0098,1.420289855,4.09,0.291139241,NA,NA,NA,NA,NA,NA,NA,NA,0.009,0.0068,40.65,1.60906055,0.31476154,0.019738634,1.322085226,0.121259452,0,0,1,1,2,0.0173,0.037038634,0.0129,0.049938634,-1.301563341,0.348284983,0.0062,0.0067,0,0.741682962,0.258317038,0.124152375,0.134164663,0.136167121
Blue2-1,Blue,21,2x,209,L,Diploid,35.9,0.0196,0.0063,0.86,0.0086,1.365079365,4.2,0.321428571,35.6,0.0251,0.0076,0.97,0.0097,1.276315789,4.24,0.302788845,40.8,0.0236,0.0079,0.96,0.0096,1.215189873,4.31,0.334745763,0.0093,0.007266667,37.43333333,1.573258502,0.319654393,0.022860453,1.285528342,0.109081656,0,1,1,0,2,0.0447,0.067560453,0.043,0.110560453,-0.956400191,0.636467017,0.0272,0.0158,0,0.611072505,0.388927495,0.246019252,0.142908242,0.065725735
Blue2-1,Blue,23,2x,211,L,Diploid,33.8,0.0303,0.0085,1.16,0.0116,1.364705882,4.61,0.280528053,36.1,0.0324,0.0109,1.28,0.0128,1.174311927,4.91,0.336419753,NA,NA,NA,NA,NA,NA,NA,NA,0.0122,0.0097,34.95,1.54344718,0.308473903,0.012730214,1.269508905,0.103635752,0,0,0,0,0,0.0661,0.078830214,0.0543,0.133130214,-0.87572337,0.688822182,0.0328,0.0215,0,0.592128651,0.407871349,0.246375327,0.161496022,0.072860996
Blue6-2018,Blue,20,2x,248,L,Diploid,48.5,0.0384,0.0124,1.51,0.0151,1.217741935,5.27,0.322916667,45.1,0.0388,0.0125,1.62,0.0162,1.296,5.45,0.322164948,NA,NA,NA,NA,NA,NA,NA,NA,0.01565,0.01245,46.8,1.670245853,0.322540808,0.022252878,1.256870968,0.099290695,0,1,0,0,1,0.0555,0.077752878,0.0555,0.133252878,-0.875323402,0.713799944,0.029,0.0265,0,0.583498677,0.416501323,0.217631322,0.198870001,0.093431378
Blue2-2,Blue,18,2x,222,L,Diploid,41,0.0509,0.0165,1.88,0.0188,1.139393939,6.1,0.324165029,40.2,0.0504,0.0137,1.85,0.0185,1.350364964,5.94,0.271825397,NA,NA,NA,NA,NA,NA,NA,NA,0.01865,0.0151,40.6,1.608526034,0.297995213,0.011429798,1.244879452,0.095127299,0,0,0,0,0,0.087,0.098429798,0.0637,0.162129798,-0.790137158,0.647161747,0.0391,0.0246,0,0.60710492,0.39289508,0.241164798,0.151730282,0.093135255
Blue1-3,Blue,18,2x,198,L,Diploid,40.7,0.021,0.0062,0.8,0.008,1.290322581,3.78,0.295238095,45.7,0.0227,0.0076,0.85,0.0085,1.118421053,3.96,0.334801762,NA,NA,NA,NA,NA,NA,NA,NA,0.00825,0.0069,43.2,1.635483747,0.315019929,0.028861085,1.204371817,0.080760584,0,1,0,0,1,0.0324,0.061261085,0.012,0.073261085,-1.135126654,0.195882917,0.0029,0.0091,0,0.836202262,0.163797738,0.039584453,0.124213285,0.094183699
Blue2-3,Blue,23,2x,235,L,Diploid,35.9,0.0297,0.0106,1.28,0.0128,1.20754717,4.81,0.356902357,36.2,0.0344,0.0121,1.38,0.0138,1.140495868,5.14,0.351744186,NA,NA,NA,NA,NA,NA,NA,NA,0.0133,0.01135,36.05,1.556905269,0.354323272,0.014860246,1.174021519,0.069676057,1,0,0,0,1,0.0901,0.104960246,0.0573,0.162260246,-0.78978787,0.545920977,0.0292,0.0281,0,0.646863595,0.353136405,0.179957819,0.173178586,0.069949358
Blue6-2018,Blue,19,2x,247,L,Diploid,45.1,0.0499,0.015,1.73,0.0173,1.153333333,5.56,0.300601202,51.8,0.043,0.0143,1.6,0.016,1.118881119,5.26,0.33255814,NA,NA,NA,NA,NA,NA,NA,NA,0.01665,0.01465,48.45,1.685293781,0.316579671,0.011230452,1.136107226,0.055419322,0,0,0,0,0,0.0674,0.078630452,0.0623,0.140930452,-0.850995155,0.792313899,0.0309,0.0314,0,0.557937982,0.442062018,0.219257084,0.222804934,0.103951983
Blue2-3,Blue,21,2x,233,L,Diploid,NA,NA,NA,0.53,0.0053,NA,3.05,NA,NA,NA,0.0046,0.52,0.0052,1.130434783,3.03,NA,NA,NA,0.0044,NA,NA,NA,NA,NA,0.00525,0.0045,NA,NA,NA,NA,1.130434783,0.053245512,1,1,1,1,4,0.0181,0.0181,0.0126,0.0307,-1.512861625,0.696132597,0.0046,0.008,0,0.589576547,0.410423453,0.149837134,0.260586319,0.146579805
Blue2-1,Blue,24,2x,212,L,Diploid,41.4,0.0289,0.0097,1.09,0.0109,1.12371134,4.46,0.335640138,37.4,0.0286,0.0096,1.08,0.0108,1.125,4.76,0.335664336,NA,NA,NA,NA,NA,NA,NA,NA,0.01085,0.00965,39.4,1.595496222,0.335652237,0.015798357,1.12435567,0.050903714,0,0,0,0,0,0.0445,0.060298357,0.0293,0.089598357,-1.047699954,0.485917054,0.0149,0.0144,0,0.672985075,0.327014925,0.166297692,0.160717233,0.107702868
Blue6-2018,Blue,17,2x,245,L,Diploid,36.1,0.0151,0.007,0.69,0.0069,0.985714286,3.49,0.463576159,37.1,0.0193,0.0067,0.82,0.0082,1.223880597,3.91,0.347150259,NA,NA,NA,NA,NA,NA,NA,NA,0.00755,0.00685,36.6,1.563481085,0.405363209,0.009229773,1.104797442,0.04328266,0,1,0,0,1,0.0232,0.032429773,0.0355,0.067929773,-1.167939837,1.094673096,0.0164,0.0191,0,0.477401463,0.522598537,0.241425803,0.281172734,0.100839436
Blue2-2,Blue,17,2x,221,L,Diploid,43.8,0.0446,0.0144,1.55,0.0155,1.076388889,5.57,0.322869955,41.1,0.0471,0.0146,1.62,0.0162,1.109589041,5.62,0.309978769,NA,NA,NA,NA,NA,NA,NA,NA,0.01585,0.0145,42.45,1.627877695,0.316424362,0.014216766,1.092988965,0.038615777,0,1,0,0,1,0.093,0.107216766,0.0548,0.162016766,-0.790440041,0.511114092,0.0354,0.0194,0,0.6617634,0.3382366,0.218495906,0.119740694,0.08949691
Blue2-3,Blue,22,2x,234,L,Diploid,38.1,0.0413,0.0156,1.64,0.0164,1.051282051,5.46,0.377723971,35.6,0.0428,0.0144,1.62,0.0162,1.125,5.67,0.336448598,NA,NA,NA,NA,NA,NA,NA,NA,0.0163,0.015,36.85,1.566437492,0.357086285,0.009458718,1.088141026,0.036685185,0,0,0,0,0,0.0724,0.081858718,0.0439,0.125758718,-0.900461899,0.536289855,0.0181,0.0258,0,0.650918833,0.349081167,0.143926404,0.205154763,0.119276025
Blue2-2,Blue,19,2x,223,L,Diploid,43,0.0437,0.0135,1.48,0.0148,1.096296296,5.42,0.308924485,45.3,0.0364,0.0122,1.29,0.0129,1.057377049,4.89,0.335164835,NA,NA,NA,NA,NA,NA,NA,NA,0.01385,0.01285,44.15,1.644930708,0.32204466,0.014115199,1.076836673,0.032149838,0,1,0,0,1,0.0625,0.076615199,0.0395,0.116115199,-0.935110929,0.515563498,0.0231,0.0164,0,0.659820589,0.340179411,0.198940364,0.141239047,0.11066596
CheneyA-2018,Cheney,5,2x,277,C,Diploid,43.4,0.0755,0.024,2.67,0.0267,1.1125,6.76,0.317880795,44.3,0.0768,0.0239,2.77,0.0277,1.158995816,6.83,0.311197917,37.6,0.0789,0.0218,2.94,0.0294,1.348623853,7.16,0.276299113,0.027933333,0.023233333,41.76666667,1.620829816,0.301792608,0.020686567,1.206706556,0.081601672,0,0,0,0,0,0.091,0.111686567,0.1071,0.218786567,-0.659979346,0.958933584,0.0421,0.065,0,0.51048183,0.48951817,0.192424976,0.297093194,0.106191771
Cheney2-2018,Cheney,5,2x,253,C,Diploid,46.8,0.0724,0.0201,2.4,0.024,1.194029851,6.8,0.277624309,48.6,0.0694,0.0193,2.26,0.0226,1.170984456,6.61,0.278097983,45.1,0.0663,0.019,2.26,0.0226,1.189473684,6.67,0.286576169,0.023066667,0.019466667,46.83333333,1.670555069,0.280766154,0.022678794,1.18482933,0.073655796,0,0,1,0,1,0.0952,0.117878794,0.0809,0.198778794,-0.701629949,0.686298165,0.0486,0.0323,0,0.593014937,0.406985063,0.244492881,0.162492182,0.097931306
Cheney7-2018,Cheney,4,2x,268,C,Diploid,40.7,0.0719,0.0264,2.93,0.0293,1.109848485,7.34,0.367176634,41.9,0.0714,0.0243,2.79,0.0279,1.148148148,6.97,0.340336134,NA,NA,NA,NA,NA,NA,NA,NA,0.0286,0.02535,41.3,1.615950052,0.353756384,NA,1.128998317,0.052693295,0,0,0,0,0,0.2312,0.2312,0.1883,0.4195,-0.377268035,0.814446367,0.1027,0.0856,0,0.5511323,0.4488677,0.244815256,0.204052443,0.060429082
Cheney7-2018,Cheney,2,2x,266,C,Diploid,45.8,0.0726,0.0288,3.06,0.0306,1.0625,7.27,0.396694215,46.4,0.0663,0.024,2.64,0.0264,1.1,6.79,0.36199095,41.2,0.0642,0.0224,2.72,0.0272,1.214285714,6.68,0.348909657,0.028066667,0.025066667,44.46666667,1.648034575,0.369198274,0.02290563,1.125595238,0.051382247,0,0,0,0,0,0.159,0.18190563,0.1711,0.35300563,-0.452218368,0.940597605,0.0962,0.0749,0,0.515305181,0.484694819,0.2725169,0.212177919,0.071009256
Cheney2-2018,Cheney,6,2x,254,C,Diploid,47,0.0672,0.0242,2.51,0.0251,1.037190083,6.61,0.360119048,47.3,0.0621,0.0205,2.35,0.0235,1.146341463,6.32,0.330112721,NA,NA,NA,NA,NA,NA,NA,NA,0.0243,0.02235,47.15,1.673481697,0.345115885,NA,1.091765773,0.038129475,1,1,1,1,4,0.1536,0.1536,0.0801,0.2337,-0.631341288,0.521484375,0.0353,0.0448,0,0.657252888,0.342747112,0.151048353,0.191698759,0.09563543
CheneyA-2018,Cheney,6,2x,278,C,Diploid,45.9,0.0624,0.0228,2.56,0.0256,1.122807018,6.79,0.365384615,48.7,0.0777,0.0281,2.97,0.0297,1.056939502,7.19,0.361647362,NA,NA,NA,NA,NA,NA,NA,NA,0.02765,0.02545,47.3,1.674861141,0.363515989,NA,1.08987326,0.037375997,0,0,0,0,0,0.1574,0.1574,0.1205,0.2779,-0.556111453,0.765565438,0.0571,0.0634,0,0.566390788,0.433609212,0.205469593,0.228139619,0.091579705
Cheney7-2018,Cheney,1,2x,265,C,Diploid,40.5,0.0556,0.0187,2.12,0.0212,1.13368984,5.95,0.336330935,46.2,0.0719,0.0234,2.44,0.0244,1.042735043,6.62,0.325452017,NA,NA,NA,NA,NA,NA,NA,NA,0.0228,0.02105,43.35,1.636989102,0.330891476,NA,1.088212442,0.036713687,1,1,1,1,4,0.0791,0.0791,0.0648,0.1439,-0.841939206,0.819216182,0.0398,0.025,0,0.549687283,0.450312717,0.276580959,0.173731758,0.14628214
CheneyA-2018,Cheney,8,2x,280,C,Diploid,42.8,0.0758,0.0246,2.85,0.0285,1.158536585,7,0.324538259,45.7,0.0901,0.0333,3.29,0.0329,0.987987988,7.61,0.369589345,NA,NA,NA,NA,NA,NA,NA,NA,0.0307,0.02895,44.25,1.645913275,0.347063802,NA,1.073262287,0.030705869,0,0,0,0,0,0.2067,0.2067,0.1466,0.3533,-0.451856363,0.709240445,0.0767,0.0699,0,0.585055194,0.414944806,0.217095952,0.197848854,0.081941693
CheneyA-2018,Cheney,7,2x,279,C,Diploid,49.6,0.0966,0.0341,3.33,0.0333,0.976539589,7.88,0.35300207,48.7,0.0886,0.0305,3.16,0.0316,1.036065574,7.62,0.344243792,51.1,0.0778,0.0273,2.79,0.0279,1.021978022,7.39,0.350899743,0.030933333,0.030633333,49.8,1.697229343,0.349381868,0.017666634,1.011527728,0.004977792,1,1,1,1,4,0.1863,0.203966634,0.1488,0.352766634,-0.452512499,0.729531086,0.0816,0.0672,0,0.5781914,0.4218086,0.231314394,0.190494206,0.086837388
Cheney2-2018,Cheney,7,2x,255,C,Diploid,47.5,0.073,0.0299,2.74,0.0274,0.91638796,7.26,0.409589041,49.4,0.0766,0.0298,2.77,0.0277,0.929530201,7.21,0.389033943,40.9,0.0745,0.0271,3.03,0.0303,1.118081181,7.19,0.363758389,0.028466667,0.028933333,45.93333333,1.662127963,0.387460458,0.029747541,0.987999781,-0.005243152,0,0,1,0,1,0.1649,0.194647541,0.1475,0.342147541,-0.465786577,0.75777993,0.0646,0.0829,0,0.56889943,0.43110057,0.188807436,0.242293134,0.084563907
Cheney7-2018,Cheney,3,2x,267,C,Diploid,52.5,0.0753,0.0267,2.6,0.026,0.973782772,6.79,0.354581673,47.6,0.0943,0.0346,3.21,0.0321,0.927745665,7.48,0.366914104,NA,NA,NA,NA,NA,NA,NA,NA,0.02905,0.03065,50.05,1.699404082,0.360747889,NA,0.950764219,-0.021927171,0,1,1,1,3,0.093,0.093,0.1372,0.2302,-0.637894681,1.475268817,0.085,0.0522,0,0.403996525,0.596003475,0.369244136,0.22675934,0.133145091
Cheney2-2018,Cheney,8,2x,256,C,Diploid,54.9,0.0599,0.0246,2.27,0.0227,0.922764228,6.56,0.410684474,56,0.0645,0.0254,2.39,0.0239,0.940944882,6.65,0.39379845,NA,NA,NA,NA,NA,NA,NA,NA,0.0233,0.025,55.45,1.74390155,0.402241462,NA,0.931854555,-0.030651868,0,1,0,0,1,0.1682,0.1682,0.1335,0.3017,-0.52042469,0.793697979,0.0646,0.0689,0,0.557507458,0.442492542,0.214119987,0.228372556,0.082863772
CheneyA-2018,Cheney,16,2x,288,H,Diploid,42.2,0.1511,0.0346,5.28,0.0528,1.526011561,9.74,0.228987426,44.4,0.1466,0.0349,5.06,0.0506,1.449856734,9.35,0.238062756,45.4,0.1507,0.0351,5.23,0.0523,1.49002849,10.11,0.232913072,0.0519,0.034866667,44,1.643452676,0.233321085,0.018132385,1.488632262,0.172787427,0,1,0,0,1,0.3224,0.340532385,0.201,0.541532385,-0.266375566,0.590252231,0.0917,0.1093,0,0.628831062,0.371168938,0.169334286,0.201834651,0.064385193
CheneyA-2018,Cheney,13,2x,285,H,Diploid,37.3,0.1033,0.0258,3.7,0.037,1.434108527,8.24,0.249757986,38.8,0.1005,0.0256,3.51,0.0351,1.37109375,8.02,0.254726368,NA,NA,NA,NA,NA,NA,NA,NA,0.03605,0.0257,38.05,1.580354661,0.252242177,NA,1.402601139,0.146934187,0,1,0,1,2,0.4504,0.4504,0.1154,0.5658,-0.247337057,0.256216696,0.0523,0.0631,0,0.796041004,0.203958996,0.09243549,0.111523507,0.045422411
Cheney2-2018,Cheney,15,2x,263,H,Diploid,45.8,0.0893,0.0239,3.29,0.0329,1.376569038,7.8,0.267637178,48.4,0.1193,0.0286,3.85,0.0385,1.346153846,8.62,0.239731769,NA,NA,0.0274,3.96,0.0396,1.445255474,8.73,NA,0.037,0.026633333,47.1,1.673020907,0.253684474,0.010132743,1.389326119,0.1428042,0,1,1,0,2,0.5798,0.589932743,0.2147,0.804632743,-0.094402299,0.363939792,0.0819,0.1328,0,0.733170192,0.266829808,0.101785567,0.165044241,0.033099987
Cheney2-2018,Cheney,14,2x,262,H,Diploid,42.7,0.1501,0.04,5.97,0.0597,1.4925,10.41,0.266489007,46.4,0.1194,0.0413,5.3,0.053,1.283292978,10.13,0.345896147,NA,NA,0.0495,6.11,0.0611,1.234343434,11.01,NA,0.057933333,0.0436,44.55,1.648847708,0.306192577,0.008632394,1.336712137,0.126037891,0,0,1,0,1,0.7265,0.735132394,0.2989,1.034032394,0.014534144,0.406593428,0.1245,0.1744,0,0.710937489,0.289062511,0.120402417,0.168660093,0.042165023
Cheney2-2018,Cheney,13,2x,261,H,Diploid,46.4,0.1429,0.0427,5.59,0.0559,1.309133489,10.05,0.298810357,35.8,0.1138,0.0271,3.79,0.0379,1.398523985,8.52,0.238137083,NA,NA,0.0398,5.15,0.0515,1.293969849,9.55,NA,0.048433333,0.036533333,41.1,1.613841822,0.26847372,0.010498958,1.333875774,0.125115385,0,1,0,0,1,0.4596,0.470098958,0.236,0.706098958,-0.151134429,0.502021959,0.0945,0.1415,0,0.665769228,0.334230772,0.133833932,0.20039684,0.051739678
Cheney7-2018,Cheney,10,2x,274,H,Diploid,44.5,0.2204,0.0635,7.8,0.078,1.228346457,11.24,0.288112523,45.9,0.1823,0.0487,6.72,0.0672,1.379876797,11.36,0.267142074,44.2,0.1913,0.0589,6.7,0.067,1.137521222,11.17,0.307893361,0.070733333,0.057033333,44.86666667,1.651923805,0.287715986,0.004362692,1.248581492,0.096416893,0,0,1,1,2,0.8339,0.838262692,0.3113,1.149562692,0.060532661,0.371363301,0.0959,0.2154,0,0.729201372,0.270798628,0.083423027,0.187375601,0.049613069
Cheney2-2018,Cheney,16,2x,264,H,Diploid,48.2,0.1245,0.0334,4.1,0.041,1.22754491,8.88,0.268273092,50.8,0.164,0.0441,5.16,0.0516,1.170068027,10.07,0.268902439,47.7,0.1501,0.0399,5.21,0.0521,1.305764411,10.09,0.265822785,0.048233333,0.039133333,48.9,1.689308859,0.267666105,0.011821711,1.234459116,0.091476711,0,1,0,0,1,0.7077,0.719521711,0.2891,1.008621711,0.003728312,0.401794686,0.109,0.1801,0,0.71337123,0.28662877,0.108068267,0.178560503,0.038798821
Cheney7-2018,Cheney,11,2x,275,H,Diploid,51.2,0.1077,0.0282,3.97,0.0397,1.407801418,8.53,0.26183844,48.8,0.1707,0.0477,5.68,0.0568,1.190775681,10.36,0.27943761,46.3,0.1691,0.0528,5.66,0.0566,1.071969697,10.58,0.312241277,0.051033333,0.0429,48.76666667,1.688123071,0.284505776,0.015952603,1.223515599,0.087609511,0,0,1,0,1,0.735,0.750952603,0.235,0.985952603,-0.006143962,0.312935862,0.066,0.169,0,0.761651829,0.238348171,0.066940337,0.171407834,0.043511219
CheneyA-2018,Cheney,14,2x,286,H,Diploid,49,0.1439,0.0466,5.29,0.0529,1.135193133,9.91,0.323835997,48.9,0.2319,0.0651,8.08,0.0808,1.241167435,12.37,0.28072445,NA,NA,0.0419,5.13,0.0513,1.224343675,9.61,NA,0.061666667,0.0512,48.95,1.689752696,0.302280224,0.013103856,1.200234748,0.079266196,0,0,1,0,1,1.1191,1.132203856,0.3372,1.469403856,0.167141175,0.297826225,0.15,0.1872,0,0.770519181,0.229480819,0.102082215,0.127398604,0.034844063
Cheney7-2018,Cheney,12,2x,276,H,Diploid,48.7,0.2346,0.0736,8.08,0.0808,1.097826087,12.74,0.31372549,46.8,0.2389,0.0711,8.46,0.0846,1.189873418,13.12,0.297614064,49.6,0.2148,0.0756,7.16,0.0716,0.947089947,11.97,0.351955307,0.079,0.073433333,48.36666667,1.684546158,0.321098287,0.018141881,1.078263151,0.032724764,0,0,0,0,0,1.0422,1.060341881,0.2868,1.347141881,0.129413338,0.2704788,0.0971,0.1897,0,0.78710483,0.21289517,0.072078525,0.140816645,0.054510467
Cheney7-2018,Cheney,20,2x,272,L,Diploid,36.1,0.0273,0.0098,1.28,0.0128,1.306122449,4.66,0.358974359,35.5,0.0245,0.0083,1.21,0.0121,1.457831325,4.55,0.33877551,NA,NA,NA,NA,NA,NA,NA,NA,0.01245,0.00905,35.8,1.553883027,0.348874935,0.009684433,1.381976887,0.14050078,1,0,0,0,1,0.0431,0.052784433,0.0372,0.089984433,-1.045832616,0.704753237,0.0141,0.0231,0,0.586595161,0.413404839,0.156693769,0.256711069,0.100572951
Cheney7-2018,Cheney,19,2x,271,L,Diploid,35.5,NA,0.0087,1.24,0.0124,1.425287356,4.53,NA,39.1,0.0246,0.0083,1.08,0.0108,1.301204819,4.33,0.337398374,NA,NA,NA,NA,NA,NA,NA,NA,0.0116,0.0085,37.3,1.571708832,0.337398374,0.023017544,1.363246088,0.13457426,0,0,1,1,2,0.0227,0.045717544,0.0304,0.076117544,-1.118515233,0.664952606,0.0123,0.0181,0,0.600617697,0.399382303,0.161592182,0.237790121,0.111669394
CheneyA-2018,Cheney,23,2x,283,L,Diploid,33.4,0.0293,0.0099,1.22,0.0122,1.232323232,4.54,0.337883959,35.6,0.0328,0.0119,1.4,0.014,1.176470588,4.9,0.362804878,NA,NA,NA,NA,NA,NA,NA,NA,0.0131,0.0109,34.5,1.537819095,0.350344419,0.012949409,1.20439691,0.080769633,0,1,0,1,2,0.0587,0.071649409,0.0702,0.141849409,-0.848172469,0.979770817,0.0397,0.0305,0,0.505108971,0.494891029,0.279874271,0.215016758,0.076842054
Cheney2-2018,Cheney,23,2x,259,L,Diploid,41.1,0.0201,0.0069,0.83,0.0083,1.202898551,3.89,0.343283582,39.5,0.0261,0.0088,1.05,0.0105,1.193181818,4.22,0.337164751,NA,NA,NA,NA,NA,NA,NA,NA,0.0094,0.00785,40.3,1.605305046,0.340224167,0.029919862,1.198040185,0.078471386,1,1,1,1,4,0.0283,0.058219862,0.0188,0.077019862,-1.113397264,0.322913854,0.0078,0.011,0,0.755907119,0.244092881,0.101272578,0.142820303,0.101921761
Cheney7-2018,Cheney,18,2x,270,L,Diploid,38.1,0.0161,0.0062,0.73,0.0073,1.177419355,3.59,0.385093168,39.5,0.0241,0.0082,0.99,0.0099,1.207317073,4.12,0.340248963,NA,NA,NA,NA,NA,NA,NA,NA,0.0086,0.0072,38.8,1.588831726,0.362671066,0.011039374,1.192368214,0.07641039,0,0,0,0,0,0.0214,0.032439374,0.0326,0.065039374,-1.186823647,1.004951575,0.0191,0.0135,0,0.498765163,0.501234837,0.293668263,0.207566573,0.110702173
CheneyA-2018,Cheney,21,2x,281,L,Diploid,44.2,0.0281,0.0102,1.23,0.0123,1.205882353,4.63,0.362989324,41.4,0.032,0.0105,1.23,0.0123,1.171428571,4.57,0.328125,44.9,0.0338,0.0118,1.35,0.0135,1.144067797,4.73,0.349112426,0.0127,0.010833333,43.5,1.638489257,0.34674225,0.023824186,1.173792907,0.069591481,0,1,0,0,1,0.0446,0.068424186,0.0506,0.119024186,-0.92436478,0.739504596,0.0328,0.0178,0,0.57487632,0.42512368,0.275574243,0.149549437,0.091017913
Cheney7-2018,Cheney,17,2x,269,L,Diploid,36.4,0.0453,0.0159,1.84,0.0184,1.157232704,5.67,0.350993377,40.6,0.0426,0.0166,1.86,0.0186,1.120481928,5.86,0.389671362,NA,NA,NA,NA,NA,NA,NA,NA,0.0185,0.01625,38.5,1.58546073,0.37033237,NA,1.138857316,0.056469316,1,1,1,1,4,0.0701,0.0701,0.0802,0.1503,-0.823041019,1.144079886,0.0344,0.0458,0,0.466400532,0.533599468,0.228875582,0.304723886,0.108117099
CheneyA-2018,Cheney,24,2x,284,L,Diploid,33.5,0.028,0.0109,1.22,0.0122,1.119266055,4.54,0.389285714,33.7,0.0285,0.0103,1.12,0.0112,1.087378641,4.4,0.361403509,NA,NA,NA,NA,NA,NA,NA,NA,0.0117,0.0106,33.6,1.526339277,0.375344612,0.006145505,1.103322348,0.042702415,0,0,0,0,0,0.0463,0.052445505,0.0462,0.098645505,-1.0059227,0.880914389,0.0255,0.0207,0,0.531656308,0.468343692,0.258501388,0.209842304,0.107455479
